ticker,visible_col,signal_col,n_obs,n_paired,ic,pval,accuracy,ls_spread,abs_ic
BWAY,visible_count,leading_corr_ma,12,5,0.9486832980505138,0.013846832988859059,0.6,0.2587181689675025,0.9486832980505138
BSX,visible_count,leading_corr_ma,16,10,-0.9272727272727272,0.00011203450639397587,0.2,-0.10102088891155783,0.9272727272727272
BWAY,visible_count,contemp_corr_ma,12,6,0.9258200997725515,0.008049893100837697,0.5,0.056960027963469585,0.9258200997725515
BWAY,visible_count,leading_corr_historical,12,8,0.8660254037844388,0.005423950341308725,1.0,0.24001246438116725,0.8660254037844388
BWAY,visible_count,filtered_leading_corr,12,8,0.8660254037844388,0.005423950341308725,1.0,0.24001246438116725,0.8660254037844388
IART,visible_count,resid,7,7,0.8571428571428573,0.013697326615325611,0.5714285714285714,0.2741066224915887,0.8571428571428573
ZTS,visible_count,leading_corr_momentum,14,10,0.8424242424242423,0.0022200312259168433,0.9,0.11591881113875671,0.8424242424242423
TDOC,visible_count,leading_corr_momentum,13,7,0.8214285714285715,0.023448808345691494,0.5714285714285714,0.22314401633626604,0.8214285714285715
TDOC,visible_count,contemp_corr_momentum,13,9,-0.8166666666666667,0.0072247852463587885,0.1111111111111111,-0.16836056975547928,0.8166666666666667
IART,visible_count,contemp_confidence,7,7,0.8017837257372733,0.03009924789746251,0.2857142857142857,0.1996799486936477,0.8017837257372733
IART,visible_count,leading_confidence,7,7,0.8017837257372733,0.03009924789746251,0.2857142857142857,0.1996799486936477,0.8017837257372733
TTC,visible_count,contemp_corr_historical,31,8,0.7380952380952381,0.03655276105286082,0.125,-0.025943178792119326,0.7380952380952381
TTC,visible_count,filtered_contemp_corr,31,7,0.7142857142857144,0.07134356146753763,0.14285714285714285,-0.024842212026970116,0.7142857142857144
RXST,visible_count,predicted_surprise_magnitude,8,5,0.7,0.1881204043741873,0.6,0.4003589290637285,0.7
RXST,visible_count,predicted_rev_resid_calibrated,8,5,0.7,0.1881204043741873,0.6,0.4003589290637285,0.7
RXST,visible_count,ucc_to_rev_beta,8,5,0.7,0.1881204043741873,0.4,-0.04549434388998036,0.7
SKIN,visible_count,leading_corr_ma,11,5,0.7,0.1881204043741873,0.4,-0.14522105043539468,0.7
TDOC,visible_count,predicted_surprise_direction,13,10,0.6963106238227913,0.025293249585455493,0.5,0.24585266015095567,0.6963106238227913
HURC,visible_count,leading_corr_momentum,31,6,-0.6571428571428573,0.1561749271137024,0.3333333333333333,-0.1009403927663685,0.6571428571428573
GEHC,total_universe,leading_regime_shift,6,6,0.6546536707079772,0.15830242337545788,0.16666666666666666,0.1120445548988176,0.6546536707079772
QGEN,visible_count,predicted_surprise_direction,29,26,-0.6484972276303935,0.0003395454788152603,0.23076923076923078,-0.09580583012223984,0.6484972276303935
HURC,visible_count,ucc_to_rev_beta,31,8,0.6190476190476191,0.1017330374542648,0.5,0.01616930275783731,0.6190476190476191
TTC,visible_count,predicted_rev_resid_calibrated,31,8,0.6190476190476191,0.1017330374542648,0.75,0.0806505831626845,0.6190476190476191
BWAY,visible_count,consensus_revenue_corr_historical,12,9,0.6175347814894367,0.07639527678886748,0.7777777777777778,0.11758897673626198,0.6175347814894367
IART,visible_count,contemp_regime_shift,7,7,-0.6123724356957946,0.14381080871160376,0.0,-0.26901293702454687,0.6123724356957946
QDEL,visible_count,contemp_confidence,7,7,-0.6123724356957946,0.14381080871160376,0.0,-0.15153680630758432,0.6123724356957946
STE,visible_count,leading_corr_ma,20,10,-0.6121212121212121,0.05997214247725529,0.4,-0.024245700330639008,0.6121212121212121
SKIN,visible_count,contemp_corr_historical,11,9,0.5833333333333334,0.09918581647988327,0.6666666666666666,0.29056137701988083,0.5833333333333334
SKIN,visible_count,filtered_contemp_corr,11,9,0.5833333333333334,0.09918581647988327,0.6666666666666666,0.29056137701988083,0.5833333333333334
ABT,visible_count,ucc_consensus_corr_historical,26,21,0.5818181818181818,0.005660702226084469,0.7142857142857143,0.08166741963899604,0.5818181818181818
XRAY,visible_count,leading_corr_historical,19,16,0.5813099439839444,0.018188952024673372,0.8125,0.15710418416264205,0.5813099439839444
RMD,visible_count,filtered_leading_corr,18,12,0.5804195804195805,0.04785597684206059,0.6666666666666666,0.21970174101132542,0.5804195804195805
HURC,visible_count,contemp_corr_momentum,31,7,0.5714285714285715,0.18020198891152753,0.5714285714285714,0.042158561949653714,0.5714285714285715
TDOC,visible_count,filtered_leading_corr,13,7,0.5714285714285715,0.18020198891152753,0.42857142857142855,0.18360036329478596,0.5714285714285715
XRAY,visible_count,filtered_leading_corr,19,15,0.5665775274016841,0.027655274355857084,0.8,0.16093181327277994,0.5665775274016841
ZTS,visible_count,leading_corr_historical,14,11,0.5636363636363637,0.07095173447637548,0.6363636363636364,0.12405540004845975,0.5636363636363637
ZTS,visible_count,filtered_leading_corr,14,11,0.5636363636363637,0.07095173447637548,0.6363636363636364,0.12405540004845975,0.5636363636363637
RMD,visible_count,leading_confidence,18,18,0.5619423503435585,0.015219464135946452,0.3333333333333333,0.06202770935567728,0.5619423503435585
ZTS,visible_count,predicted_rev_resid_calibrated,14,12,-0.5524475524475525,0.06251148327961524,0.4166666666666667,-0.05710111054996488,0.5524475524475525
TTC,visible_count,ucc_to_surprise_beta,31,28,0.552271483305966,0.0023098363443268114,0.6785714285714286,0.08312767507107896,0.552271483305966
BWAY,visible_count,leading_confidence,12,11,0.5510931896727664,0.07889488581942843,0.18181818181818182,-0.04308883428577772,0.5510931896727664
ISRG,visible_count,predicted_rev_resid_calibrated,25,21,-0.5506493506493506,0.009687372375827964,0.3333333333333333,-0.0786349007273303,0.5506493506493506
HURC,visible_count,predicted_surprise_magnitude,31,8,-0.5476190476190477,0.1600256425388966,0.25,-0.05386965426961071,0.5476190476190477
PII,visible_count,ucc_to_surprise_beta,31,28,0.5380405035577449,0.0031445593342814193,0.6785714285714286,0.1312687943897966,0.5380405035577449
ABBV,visible_count,leading_regime_shift,27,27,0.5354155880129409,0.004002164515799435,0.14814814814814814,0.15302368909245334,0.5354155880129409
ZTS,visible_count,ucc_to_surprise_beta,14,12,-0.5314685314685316,0.07536233505348361,0.4166666666666667,-0.05790105600870211,0.5314685314685316
ISRG,visible_count,predicted_surprise_magnitude,25,21,-0.5246753246753247,0.014608927612336519,0.3333333333333333,-0.0786349007273303,0.5246753246753247
TDOC,visible_count,consensus_revenue_corr_historical,13,8,0.523809523809524,0.18272075053971482,0.5,0.23249966285673926,0.523809523809524
HY,visible_count,leading_regime_shift,16,16,-0.5214336538795803,0.03832016212346523,0.0,-0.1735274417791648,0.5214336538795803
MTW,visible_count,leading_regime_shift,31,31,-0.5197077581161876,0.002731729653468027,0.0,-0.2308784045867421,0.5197077581161876
QGEN,visible_count,predicted_rev_resid_calibrated,29,26,-0.5182951213120954,0.0066788556998449095,0.23076923076923078,-0.09580583012223984,0.5182951213120954
NVST,visible_count,predicted_surprise_magnitude,19,16,-0.5147058823529412,0.04134580644224891,0.3125,-0.11763114338007918,0.5147058823529412
PRCT,visible_count,contemp_regime_shift,12,12,-0.5120915564991891,0.08874053918241118,0.16666666666666666,-0.12418516769515525,0.5120915564991891
PRCT,visible_count,leading_confidence,12,12,-0.5075760589835357,0.09207404031050972,0.08333333333333333,-0.08838566608922722,0.5075760589835357
NVST,visible_count,predicted_surprise_calibrated,19,16,-0.5058823529411764,0.04558161612394021,0.375,-0.09342924687032149,0.5058823529411764
RMD,visible_count,leading_corr_historical,18,14,0.5032967032967033,0.06656042759911303,0.6428571428571429,0.11405321147058187,0.5032967032967033
APYX,visible_count,leading_confidence,19,19,0.5026900805298924,0.028263408560291765,0.3684210526315789,0.368301936005169,0.5026900805298924
SKIN,visible_count,ucc_to_rev_beta,11,9,0.5,0.1704706607870538,0.6666666666666666,0.29056137701988083,0.5
IDXX,visible_count,contemp_corr_ma,24,15,-0.4964285714285714,0.05979741374992395,0.4,-0.06898717709424569,0.4964285714285714
MMM,visible_count,predicted_surprise_calibrated,24,15,0.4964285714285714,0.05979741374992395,0.5333333333333333,0.049491690296299136,0.4964285714285714
MMM,visible_count,leading_corr_ma,24,10,-0.49090909090909085,0.14965567342083683,0.3,-0.02100266420731575,0.49090909090909085
