ticker,visible_col,signal_col,n_obs,n_paired,ic,pval,accuracy,ls_spread,abs_ic
BDX,visible_count,ucc_to_surprise_beta,24,20,0.022556390977443608,0.9247982163788796,0.55,0.019004118691162947,0.022556390977443608
GM,visible_count,predicted_surprise_direction,31,29,-0.021443240712255958,0.9120855018568592,0.41379310344827586,0.011879794971213647,0.021443240712255958
ASTE,visible_count,contemp_corr_ma,29,24,0.020869565217391303,0.92289170312162,0.4583333333333333,-0.02492177029299212,0.020869565217391303
GM,visible_count,leading_corr_ma,31,21,-0.02077922077922078,0.9287633909628464,0.3333333333333333,-0.03429852278285836,0.02077922077922078
XRX,visible_count,predicted_surprise_calibrated,20,16,-0.02058823529411765,0.9396737397890448,0.5,0.04582255540420817,0.02058823529411765
BWAY,visible_count,predicted_surprise_calibrated,12,9,0.019920476822239894,0.9594317553214398,0.3333333333333333,-0.08774550345067555,0.019920476822239894
IDXX,visible_count,ucc_to_surprise_beta,24,22,0.019762845849802372,0.9304384215377666,0.5,-0.01993014573416572,0.019762845849802372
IR,visible_count,predicted_surprise_magnitude,30,28,0.019704433497536946,0.9207240119137842,0.5,-0.026515823175046152,0.019704433497536946
IDXX,visible_count,leading_corr_historical,24,21,0.01948051948051948,0.9332057914291583,0.42857142857142855,0.04026615948030069,0.01948051948051948
GM,visible_count,predicted_rev_resid_calibrated,31,28,0.01860974274767378,0.9251156832791344,0.39285714285714285,0.006617304744485207,0.01860974274767378
ASTE,visible_count,contemp_corr_historical,29,27,0.018315018315018316,0.9277533978634779,0.48148148148148145,-0.014536169402998225,0.018315018315018316
ZTS,visible_count,contemp_corr_momentum,14,11,0.018181818181818184,0.9576852410216188,0.45454545454545453,-0.014423354695347472,0.018181818181818184
APYX,visible_count,filtered_contemp_corr,19,15,0.017857142857142853,0.9496353041738619,0.6666666666666666,0.34110802770221726,0.017857142857142853
ALC,total_universe,leading_corr_historical,21,16,-0.017778265528378797,0.9478960947721325,0.4375,-0.02101042095435818,0.017778265528378797
ALC,total_universe,filtered_leading_corr,21,16,-0.017778265528378797,0.9478960947721325,0.4375,-0.02101042095435818,0.017778265528378797
BAX,visible_count,contemp_regime_shift,28,28,-0.017176944382953842,0.9308669987917682,0.03571428571428571,0.005280805020014358,0.017176944382953842
APYX,visible_count,contemp_corr_historical,19,17,0.01715686274509804,0.9478908818232219,0.6470588235294118,0.12859149196987057,0.01715686274509804
RMD,visible_count,contemp_corr_ma,18,13,0.016483516483516484,0.9573761750901848,0.46153846153846156,-0.038211235261781586,0.016483516483516484
BAX,visible_count,leading_corr_ma,28,22,-0.016374929418407683,0.9423421025261126,0.45454545454545453,-0.018175468876586356,0.016374929418407683
