entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,contemp_corr,leading_corr,correlation_regime,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,outcome,benchmark_return,alpha_contribution
2018-04-25,2018-10-25,1.0,128,0.10899087726560186,2018-04-26,,0.0,0,,,unknown,low,true,0.01898989898989899,1,,false,true,direction_right_profit,0.033724390170936314,0.07526648709466555
2018-10-25,2019-01-31,-1.0,65,0.10095489708758842,2018-10-26,,0.0,0,,,unknown,low,false,-0.0017934782608695651,-1,,false,true,direction_right_profit,0.00528145385282075,0.09567344323476767
2019-01-31,2019-04-25,1.0,58,0.14052881304083198,2019-02-01,,0.0,0,,,unknown,low,true,0.005339805825242718,1,,false,true,direction_right_profit,0.08671277920471754,0.05381603383611444
2019-04-25,2019-07-25,-1.0,63,0.0044090813238685245,2019-04-26,,0.0,0,,,unknown,low,true,0.0027918781725888324,1,,false,true,direction_right_profit,0.032217352168867786,-0.02780827084499926
2019-07-25,2019-11-04,1.0,71,0.1037840940297321,2019-07-26,,0.0,0,,,unknown,low,true,0.004343434343434344,1,,false,true,direction_right_profit,0.029297624034763325,0.07448646999496877
2020-02-03,2020-05-08,-1.0,67,0.17741039135865888,2020-02-04,15.909902551384826,0.0,1,,,unknown,low,true,0.0074407582938388625,1,,true,true,direction_right_profit,-0.09243604918787396,0.26984644054653284
2020-08-03,2020-11-05,1.0,67,0.02855743942615807,2020-08-04,2.5400400646904425e-13,0.0,1,0.2423843578194055,-1.0000000000000002,regime_shift,medium,true,0.3802303198135828,1,0.3802303198135821,true,true,direction_right_profit,0.06950338384097621,-0.040945944414818136
2020-11-05,2021-02-04,-1.0,61,-0.15528768387166236,2020-11-06,2.7516861318773635e-12,0.0,1,0.3966028098258693,-0.411213666003807,weak_negative,medium,true,0.13488235294117648,1,0.134882352941196,true,false,direction_wrong_loss,0.1073440883307526,-0.26263177220241496
2021-05-03,2021-08-02,1.0,63,-0.08256538783444978,2021-05-04,0.0038383944008305126,0.0,-1,-0.03490739027039748,0.9999999925772698,regime_shift,medium,true,0.061724137931034484,1,308.80828251381024,false,false,direction_wrong_loss,0.04978851264124362,-0.1323539004756934
2022-04-27,2022-08-01,-1.0,65,0.1047515293400787,2022-04-28,0.0022904958160295656,0.0,1,0.14496583120648734,0.9660865504411112,regime_shift,medium,true,0.020368098159509202,1,0.018864829264650697,true,true,direction_right_profit,-0.011325102510175489,0.11607663185025419
2022-08-01,2022-11-01,1.0,65,0.021229776495523156,2022-08-02,0.27946786787547195,0.5294117647058824,-1,-0.11166780793666496,0.9906098086215794,strong_positive,high,true,0.035930232558139534,1,0.09420262372246405,false,true,direction_right_profit,-0.060059075829989816,0.08128885232551297
2023-05-01,2023-07-31,1.0,62,-0.00324345773944823,2023-05-02,0.06020170809490156,0.0,1,0.5233516482117092,0.21171518384863006,weak_positive,medium,true,0.07076023391812865,1,0.06879825955774262,true,false,direction_wrong_loss,0.10584690478622538,-0.10909036252567361
2023-07-31,2023-11-06,-1.0,69,0.2071128811381857,2023-08-01,0.4757406078755627,0.6176470588235294,-1,-0.23821369394151998,0.6713113917604732,regime_shift,high,true,0.027252747252747254,1,0.026215123514916158,false,true,direction_right_profit,-0.044918268161923236,0.25203114930010895
2023-11-06,2024-02-07,1.0,63,0.16929943051315077,2023-11-07,-0.04408566260334629,0.0,-1,0.13632537310825663,0.48527230877971694,weak_positive,medium,true,0.007816091954022988,1,0.007177612042279275,false,true,direction_right_profit,0.14787925347416153,0.02142017703898924
2024-05-01,2024-08-06,-1.0,66,0.08151943677008233,2024-05-02,-0.10091670092439449,0.0,1,-0.22718887489050643,0.21449429594601926,weak_positive,low,true,0.010267379679144385,1,0.006732505072919042,true,true,direction_right_profit,0.04693630295249518,0.03458313381758715
2024-08-06,2024-10-29,1.0,59,-0.04982300063612122,2024-08-07,-1.0695285246626283,0.7058823529411764,-1,0.696683346949959,-0.7046588806846275,regime_shift,high,true,0.0010309278350515464,1,0.01058610428353094,false,false,direction_wrong_loss,0.11759918909506162,-0.16742218973118284
2025-05-02,2025-08-06,-1.0,65,0.10738053737053244,2025-05-05,-0.12740602916024102,0.5,1,-0.5979132429622682,-0.7925860535142449,regime_shift,medium,,,0,,false,true,no_signal,0.11978739957499895,-0.012406862204466518
